         2098685989 function calls (2070205242 primitive calls) in 8408.946 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   316429    1.763    0.000   15.741    0.000 indexing.py:1806(check_bool_indexer)
   316432    8.479    0.000   15.694    0.000 indexing.py:1857(maybe_convert_indices)
   891866    4.846    0.000   15.327    0.000 _html5lib.py:230(appendChild)
  8985651    9.333    0.000   15.173    0.000 internals.py:4147(dtype)
  2087974   14.923    0.000   14.923    0.000 {built-in method time.strftime}
  3888437    7.031    0.000   14.570    0.000 series.py:322(name)
  1043987   14.099    0.000   14.487    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
  4200743   14.388    0.000   14.388    0.000 {method 'get_value' of 'pandas.index.IndexEngine' objects}
  1043972    7.277    0.000   14.365    0.000 __init__.py:1369(findCaller)
   642943   10.829    0.000   13.957    0.000 {method 'get_indexer' of 'pandas.index.IndexEngine' objects}
 15198430   13.859    0.000   13.859    0.000 {method 'view' of 'numpy.ndarray' objects}
   316426    4.787    0.000   13.695    0.000 threading.py:757(__init__)
   381027   13.646    0.000   13.646    0.000 {pandas.lib.fast_multiget}
   170945    6.038    0.000   13.564    0.000 algorithms.py:166(safe_sort)
     8165    2.692    0.000   13.403    0.002 tweetProcessor.py:336(typo_correction)
    71180    0.343    0.000   13.098    0.000 html5parser.py:949(addFormattingElement)
    64062    0.215    0.000   13.059    0.000 html5parser.py:1090(startTagA)
    47612    2.796    0.000   13.020    0.000 frame.py:5650(_convert_object_array)
   474639    0.624    0.000   12.949    0.000 ast.py:30(parse)
    95228    0.875    0.000   12.934    0.000 frame.py:404(_init_ndarray)
    95226    0.439    0.000   12.652    0.000 nanops.py:76(f)
   158213    3.138    0.000   12.550    0.000 tweetProcessor.py:146(filter_words_only)
   543930    8.754    0.000   12.538    0.000 numeric.py:660(require)
  3803520   12.538    0.000   12.538    0.000 generic.py:114(__init__)
   341890    3.840    0.000   12.509    0.000 internals.py:3565(iget)
   474639   12.326    0.000   12.326    0.000 {built-in method builtins.compile}
     7119    0.035    0.000   12.223    0.002 client.py:1236(request)
    95226    0.503    0.000   12.189    0.000 nanops.py:271(nansum)
     7119    0.143    0.000   12.188    0.002 client.py:1241(_send_request)
  5520476    7.958    0.000   12.159    0.000 internals.py:4174(internal_values)
   437112    2.025    0.000   12.027    0.000 base.py:955(set_names)
  1570753    3.061    0.000   11.927    0.000 internals.py:3258(<listcomp>)
  5419767    8.287    0.000   11.830    0.000 generic.py:340(_get_axis_name)
  4720250    4.525    0.000   11.823    0.000 inference.py:53(is_list_like)
   170943    6.668    0.000   11.794    0.000 function_base.py:4538(delete)
  9706309    7.654    0.000   11.728    0.000 _inputstream.py:240(char)
  1022830    5.126    0.000   11.680    0.000 dtypes.py:221(construct_from_string)
   305516    1.554    0.000   11.576    0.000 indexing.py:1371(_has_valid_type)
     7119    0.028    0.000   11.552    0.002 client.py:1223(endheaders)
     7119    0.046    0.000   11.524    0.002 client.py:1017(_send_output)
     7119    0.070    0.000   11.468    0.002 client.py:956(send)
   381240    2.583    0.000   11.212    0.000 internals.py:4581(_vstack)
     7119    0.117    0.000   11.147    0.002 client.py:933(connect)
   432237    0.429    0.000   11.100    0.000 treetaggerwrapper.py:1961(split_dns)
